Instance,PyBoolNet,SAF,SAF_SharpSAT-TD,fASP_conj,fASP_src,AEON,Hybrid_BMSA,Tseitin_SharpSAT-TD,PI_SharpSAT-TD,Hybrid_SharpSAT-TD
Cell_cycle_control_network,TIMEOUT,ERROR,ERROR,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
EMT_Mechanosensing,6.18,6.52,7.63,0.16,0.22,3.05,1.32,1.80,2.55,2.40
EMT_Mechanosensing_TGFbeta,7.23,7.87,8.89,0.16,0.26,6.87,1.45,1.88,2.75,2.40
Executable_file_for_Alzheimer_model_BCC,TIMEOUT,OUT_OF_MEMORY,7.40,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,2.58,4.23,3.38
Executable_file_for_CaSQ_derived_MAPK_model_BCC,TIMEOUT,TIMEOUT,3.87,OUT_OF_MEMORY,TIMEOUT,827.98,OUT_OF_MEMORY,1.82,2.81,2.53
Executable_file_for_CaSQ_derived_mast_cell_activation_model_BCC,270.22,1.80,1.81,15.91,4.73,0.13,0.87,0.60,0.90,0.78
Executable_file_for_cholocystokinin_model_BCC,TIMEOUT,TIMEOUT,4.68,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,2.01,2.94,2.60
HOG_example,18.78,3.32,4.43,0.97,1.44,0.34,1.17,1.80,2.40,2.14
Insulin_example,TIMEOUT,TIMEOUT,TIMEOUT,43.41,84.49,16.61,13.60,2.61,25.72,5.77
Leishmania,TIMEOUT,TIMEOUT,7.54,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT,1.96,2.96,2.66
T-cell_co-receptor_molecules_calcium_channel,TIMEOUT,3.31,4.29,OUT_OF_MEMORY,278.61,1.15,78.96,1.79,2.48,2.25
YeastPheromoneModel,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,7.70,TIMEOUT,14.50
signaling-dependent-pluripotency,745.59,5.92,7.15,0.16,0.10,0.05,0.97,1.65,2.09,1.92
